ensembl_gene_id	chromosome_name
YGR072W	YGR072W	VII
YGR073C	YGR073C	VII
YGR074W	YGR074W	VII
YGR075C	YGR075C	VII
YGR076C	YGR076C	VII
YGR077C	YGR077C	VII
YGR078C	YGR078C	VII
YGR079W	YGR079W	VII
YGR080W	YGR080W	VII
YGR081C	YGR081C	VII
YGR082W	YGR082W	VII
YGR083C	YGR083C	VII
YGR084C	YGR084C	VII
YGR085C	YGR085C	VII
YGR086C	YGR086C	VII
YGR087C	YGR087C	VII
YGR088W	YGR088W	VII
YGR089W	YGR089W	VII
YGR090W	YGR090W	VII
YGR091W	YGR091W	VII
YGR092W	YGR092W	VII
YGR093W	YGR093W	VII
YGR094W	YGR094W	VII
YGR095C	YGR095C	VII
YGR096W	YGR096W	VII
YGR097W	YGR097W	VII
YGR098C	YGR098C	VII
YGR099W	YGR099W	VII
YGR100W	YGR100W	VII
YGR101W	YGR101W	VII
YGR102C	YGR102C	VII
YGR103W	YGR103W	VII
YGR104C	YGR104C	VII
YGR105W	YGR105W	VII
YGR106C	YGR106C	VII
YGR107W	YGR107W	VII
YGR108W	YGR108W	VII
YGR109C	YGR109C	VII
YGR109W.A	YGR109W.A	NA
YGR109W.B	YGR109W.B	NA
YGR110W	YGR110W	VII
YGR111W	YGR111W	VII
YGR112W	YGR112W	VII
YGR113W	YGR113W	VII
YGR114C	YGR114C	VII
YGR115C	YGR115C	VII
YGR116W	YGR116W	VII
YGR117C	YGR117C	VII
YGR118W	YGR118W	VII
YGR119C	YGR119C	VII
YGR120C	YGR120C	VII
YGR121C	YGR121C	VII
YGR121W.A	YGR121W.A	NA
YGR122W	YGR122W	VII
YGR122C.A	YGR122C.A	NA
YGR123C	YGR123C	VII
YGR124W	YGR124W	VII
YGR125W	YGR125W	VII
YGR126W	YGR126W	VII
YGR127W	YGR127W	VII
YGR128C	YGR128C	VII
YGR129W	YGR129W	VII
YGR130C	YGR130C	VII
YGR131W	YGR131W	VII
YGR132C	YGR132C	VII
YGR133W	YGR133W	VII
YGR134W	YGR134W	VII
YGR135W	YGR135W	VII
YGR136W	YGR136W	VII
YGR137W	YGR137W	VII
YGR138C	YGR138C	VII
YGR139W	YGR139W	VII
YGR140W	YGR140W	VII
YGR141W	YGR141W	VII
YGR142W	YGR142W	VII
YGR143W	YGR143W	VII
YGR144W	YGR144W	VII
YGR145W	YGR145W	VII
YGR146C	YGR146C	VII
YGR146C.A	YGR146C.A	NA
YGR147C	YGR147C	VII
YGR148C	YGR148C	VII
YGR149W	YGR149W	VII
YGR150C	YGR150C	VII
YGR151C	YGR151C	VII
YGR152C	YGR152C	VII
YGR153W	YGR153W	VII
YGR154C	YGR154C	VII
YGR155W	YGR155W	VII
YGR156W	YGR156W	VII
YGR157W	YGR157W	VII
YGR158C	YGR158C	VII
YGR159C	YGR159C	VII
YGR160W	YGR160W	VII
YGR161C	YGR161C	VII
YGR161W.C	YGR161W.C	NA
YGR161W.A	YGR161W.A	NA
YGR161W.B	YGR161W.B	NA
YGR161C.D	YGR161C.D	NA
YGR161C.C	YGR161C.C	NA
YGR162W	YGR162W	VII
YGR163W	YGR163W	VII
YGR164W	YGR164W	VII
YGR165W	YGR165W	VII
YGR166W	YGR166W	VII
YGR167W	YGR167W	VII
YGR168C	YGR168C	VII
YGR169C	YGR169C	VII
YGR169C.A	YGR169C.A	NA
YGR170W	YGR170W	VII
YGR171C	YGR171C	VII
YGR172C	YGR172C	VII
YGR173W	YGR173W	VII
YGR174C	YGR174C	VII
YGR174W.A	YGR174W.A	NA
YGR175C	YGR175C	VII
YGR176W	YGR176W	VII
YGR177C	YGR177C	VII
YGR178C	YGR178C	VII
YGR179C	YGR179C	VII
YGR180C	YGR180C	VII
YGR181W	YGR181W	VII
YGR182C	YGR182C	VII
YGR183C	YGR183C	VII
YGR184C	YGR184C	VII
YGR185C	YGR185C	VII
YGR186W	YGR186W	VII
YGR187C	YGR187C	VII
YGR188C	YGR188C	VII
YGR189C	YGR189C	VII
YGR190C	YGR190C	VII
YGR191W	YGR191W	VII
YGR192C	YGR192C	VII
YGR193C	YGR193C	VII
YGR194C	YGR194C	VII
YGR195W	YGR195W	VII
YGR196C	YGR196C	VII
YGR197C	YGR197C	VII
YGR198W	YGR198W	VII
YGR199W	YGR199W	VII
YGR200C	YGR200C	VII
YGR201C	YGR201C	VII
YGR202C	YGR202C	VII
YGR203W	YGR203W	VII
YGR204W	YGR204W	VII
YGR204C.A	YGR204C.A	NA
YGR205W	YGR205W	VII
YGR206W	YGR206W	VII
YGR207C	YGR207C	VII
YGR208W	YGR208W	VII
YGR209C	YGR209C	VII
YGR210C	YGR210C	VII
YGR211W	YGR211W	VII
YGR212W	YGR212W	VII
YGR213C	YGR213C	VII
YGR214W	YGR214W	VII
YGR215W	YGR215W	VII
YGR216C	YGR216C	VII
YGR217W	YGR217W	VII
YGR218W	YGR218W	VII
YGR219W	YGR219W	VII
YGR220C	YGR220C	VII
YGR221C	YGR221C	VII
snR7.L	snR7.L	NA
snR7.S	snR7.S	NA
YGR222W	YGR222W	VII
YGR223C	YGR223C	VII
YGR224W	YGR224W	VII
YGR225W	YGR225W	VII
YGR226C	YGR226C	VII
YGR227W	YGR227W	VII
YGR228W	YGR228W	VII
YGR229C	YGR229C	VII
YGR230W	YGR230W	VII
YGR231C	YGR231C	VII
YGR232W	YGR232W	VII
YGR233C	YGR233C	VII
YGR234W	YGR234W	VII
YGR235C	YGR235C	VII
YGR236C	YGR236C	VII
YGR237C	YGR237C	VII
YGR238C	YGR238C	VII
YGR239C	YGR239C	VII
YGR240C	YGR240C	VII
YGR240C.A	YGR240C.A	NA
YGR241C	YGR241C	VII
YGR242W	YGR242W	VII
YGR243W	YGR243W	VII
YGR244C	YGR244C	VII
YGR245C	YGR245C	VII
YGR246C	YGR246C	VII
YGR247W	YGR247W	VII
YGR248W	YGR248W	VII
YGR249W	YGR249W	VII
YGR250C	YGR250C	VII
YGR251W	YGR251W	VII
YGR252W	YGR252W	VII
YGR253C	YGR253C	VII
YGR254W	YGR254W	VII
YGR255C	YGR255C	VII
YGR256W	YGR256W	VII
YGR257C	YGR257C	VII
YGR258C	YGR258C	VII
YGR259C	YGR259C	VII
YGR260W	YGR260W	VII
YGR261C	YGR261C	VII
YGR262C	YGR262C	VII
YGR263C	YGR263C	VII
YGR264C	YGR264C	VII
YGR265W	YGR265W	VII
YGR266W	YGR266W	VII
YGR267C	YGR267C	VII
YGR268C	YGR268C	VII
YGR269W	YGR269W	VII
YGR270W	YGR270W	VII
YGR270C.A	YGR270C.A	NA
YGR271W	YGR271W	VII
YGR271C.A	YGR271C.A	NA
YGR273C	YGR273C	VII
YGR274C	YGR274C	VII
YGR275W	YGR275W	VII
YGR276C	YGR276C	VII
YGR277C	YGR277C	VII
YGR278W	YGR278W	VII
YGR279C	YGR279C	VII
YGR280C	YGR280C	VII
YGR281W	YGR281W	VII
YGR282C	YGR282C	VII
YGR283C	YGR283C	VII
YGR284C	YGR284C	VII
YGR285C	YGR285C	VII
YGR286C	YGR286C	VII
YGR287C	YGR287C	VII
YGR288W	YGR288W	VII
YGR289C	YGR289C	VII
YGR290W	YGR290W	VII
YGR291C	YGR291C	VII
YGR292W	YGR292W	VII
YGR293C	YGR293C	VII
YGR294W	YGR294W	VII
YGR295C	YGR295C	VII
YGR296W	YGR296W	VII
YGR296C.A	YGR296C.A	NA
YGR296C.B	YGR296C.B	NA
YLL067C	YLL067C	XII
YLL067W.A	YLL067W.A	NA
YLL066W.B	YLL066W.B	NA
YLL066C	YLL066C	XII
YLL066W.A	YLL066W.A	NA
YLL065W	YLL065W	XII
YLL064C	YLL064C	XII
YLL063C	YLL063C	XII
YLL062C	YLL062C	XII
YLL061W	YLL061W	XII
YLL060C	YLL060C	XII
YLL059C	YLL059C	XII
YLL058W	YLL058W	XII
YLL057C	YLL057C	XII
YLL056C	YLL056C	XII
YLL055W	YLL055W	XII
YLL054C	YLL054C	XII
YLL053C	YLL053C	XII
YLL052C	YLL052C	XII
YLL051C	YLL051C	XII
YLL050C	YLL050C	XII
YLL049W	YLL049W	XII
YLL048C	YLL048C	XII
YLL047W	YLL047W	XII
YLL046C	YLL046C	XII
YLL045C	YLL045C	XII
YLL044W	YLL044W	XII
YLL043W	YLL043W	XII
YLL042C	YLL042C	XII
YLL041C	YLL041C	XII
YLL040C	YLL040C	XII
YLL039C	YLL039C	XII
YLL038C	YLL038C	XII
YLL037W	YLL037W	XII
YLL036C	YLL036C	XII
YLL035W	YLL035W	XII
YLL034C	YLL034C	XII
YLL033W	YLL033W	XII
YLL032C	YLL032C	XII
YLL031C	YLL031C	XII
YLL030C	YLL030C	XII
YLL029W	YLL029W	XII
YLL028W	YLL028W	XII
YLL027W	YLL027W	XII
YLL026W	YLL026W	XII
YLL025W	YLL025W	XII
YLL024C	YLL024C	XII
YLL023C	YLL023C	XII
YLL022C	YLL022C	XII
YLL021W	YLL021W	XII
YLL020C	YLL020C	XII
YLL019C	YLL019C	XII
YLL019W.A	YLL019W.A	NA
YLL018C.A	YLL018C.A	NA
YLL018C	YLL018C	XII
YLL017W	YLL017W	XII
YLL016W	YLL016W	XII
YLL015W	YLL015W	XII
YLL014W	YLL014W	XII
YLL013C	YLL013C	XII
YLL012W	YLL012W	XII
YLL011W	YLL011W	XII
YLL010C	YLL010C	XII
YLL009C	YLL009C	XII
YLL008W	YLL008W	XII
YLL007C	YLL007C	XII
YLL006W.A	YLL006W.A	NA
YLL006W	YLL006W	XII
YLL005C	YLL005C	XII
YLL004W	YLL004W	XII
YLL003W	YLL003W	XII
YLL002W	YLL002W	XII
YLL001W	YLL001W	XII
YLR001C	YLR001C	XII
YLR002C	YLR002C	XII
YLR003C	YLR003C	XII
YLR004C	YLR004C	XII
YLR005W	YLR005W	XII
YLR006C	YLR006C	XII
YLR007W	YLR007W	XII
YLR008C	YLR008C	XII
YLR009W	YLR009W	XII
YLR010C	YLR010C	XII
YLR011W	YLR011W	XII
YLR012C	YLR012C	XII
YLR013W	YLR013W	XII
YLR014C	YLR014C	XII
YLR015W	YLR015W	XII
YLR016C	YLR016C	XII
YLR017W	YLR017W	XII
YLR018C	YLR018C	XII
YLR019W	YLR019W	XII
YLR020C	YLR020C	XII
YLR021W	YLR021W	XII
YLR022C	YLR022C	XII
YLR023C	YLR023C	XII
YLR024C	YLR024C	XII
YLR025W	YLR025W	XII
YLR026C	YLR026C	XII
YLR027C	YLR027C	XII
snR30	snR30	XII
YLR028C	YLR028C	XII
YLR029C	YLR029C	XII
YLR030W	YLR030W	XII
YLR031W	YLR031W	XII
YLR032W	YLR032W	XII
YLR033W	YLR033W	XII
YLR034C	YLR034C	XII
YLR035C	YLR035C	XII
YLR035C.A	YLR035C.A	NA
YLR036C	YLR036C	XII
YLR037C	YLR037C	XII
YLR038C	YLR038C	XII
YLR039C	YLR039C	XII
YLR040C	YLR040C	XII
YLR041W	YLR041W	XII
YLR042C	YLR042C	XII
YLR043C	YLR043C	XII
YLR044C	YLR044C	XII
YLR045C	YLR045C	XII
YLR046C	YLR046C	XII
YLR047C	YLR047C	XII
YLR048W	YLR048W	XII
YLR049C	YLR049C	XII
YLR050C	YLR050C	XII
YLR051C	YLR051C	XII
YLR052W	YLR052W	XII
YLR053C	YLR053C	XII
YLR054C	YLR054C	XII
YLR055C	YLR055C	XII
YLR056W	YLR056W	XII
YLR057W	YLR057W	XII
YLR058C	YLR058C	XII
YLR059C	YLR059C	XII
YLR060W	YLR060W	XII
YLR061W	YLR061W	XII
YLR062C	YLR062C	XII
YLR063W	YLR063W	XII
YLR064W	YLR064W	XII
YLR065C	YLR065C	XII
YLR066W	YLR066W	XII
YLR067C	YLR067C	XII
YLR068W	YLR068W	XII
YLR069C	YLR069C	XII
YLR070C	YLR070C	XII
YLR071C	YLR071C	XII
YLR072W	YLR072W	XII
YLR073C	YLR073C	XII
YLR074C	YLR074C	XII
YLR075W	YLR075W	XII
YLR076C	YLR076C	XII
YLR077W	YLR077W	XII
YLR078C	YLR078C	XII
YLR079W	YLR079W	XII
YLR080W	YLR080W	XII
YLR081W	YLR081W	XII
YLR082C	YLR082C	XII
YLR083C	YLR083C	XII
YLR084C	YLR084C	XII
YLR085C	YLR085C	XII
YLR086W	YLR086W	XII
YLR087C	YLR087C	XII
YLR088W	YLR088W	XII
YLR089C	YLR089C	XII
YLR090W	YLR090W	XII
YLR091W	YLR091W	XII
YLR092W	YLR092W	XII
YLR093C	YLR093C	XII
YLR094C	YLR094C	XII
YLR095C	YLR095C	XII
YLR096W	YLR096W	XII
YLR097C	YLR097C	XII
YLR098C	YLR098C	XII
YLR099C	YLR099C	XII
YLR099W.A	YLR099W.A	NA
YLR100W	YLR100W	XII
YLR101C	YLR101C	XII
YLR102C	YLR102C	XII
YLR103C	YLR103C	XII
YLR104W	YLR104W	XII
YLR105C	YLR105C	XII
snR79	snR79	XII
YLR106C	YLR106C	XII
YLR107W	YLR107W	XII
snR6	snR6	XII
YLR108C	YLR108C	XII
YLR109W	YLR109W	XII
YLR110C	YLR110C	XII
YLR111W	YLR111W	XII
YLR112W	YLR112W	XII
YLR113W	YLR113W	XII
YLR114C	YLR114C	XII
YLR115W	YLR115W	XII
YLR116W	YLR116W	XII
YLR117C	YLR117C	XII
YLR118C	YLR118C	XII
YLR119W	YLR119W	XII
YLR120C	YLR120C	XII
YLR120W.A	YLR120W.A	NA
YLR121C	YLR121C	XII
YLR122C	YLR122C	XII
YLR123C	YLR123C	XII
YLR124W	YLR124W	XII
YLR125W	YLR125W	XII
YLR126C	YLR126C	XII
YLR127C	YLR127C	XII
YLR128W	YLR128W	XII
YLR129W	YLR129W	XII
YLR130C	YLR130C	XII
YLR131C	YLR131C	XII
YLR132C	YLR132C	XII
YLR133W	YLR133W	XII
YLR134W	YLR134W	XII
YLR135W	YLR135W	XII
YLR136C	YLR136C	XII
YLR137W	YLR137W	XII
YLR138W	YLR138W	XII
YLR139C	YLR139C	XII
YLR140W	YLR140W	XII
YLR141W	YLR141W	XII
YLR142W	YLR142W	XII
YLR143W	YLR143W	XII
YLR144C	YLR144C	XII
YLR145W	YLR145W	XII
YLR146C	YLR146C	XII
YLR146W.A	YLR146W.A	NA
YLR147C	YLR147C	XII
YLR148W	YLR148W	XII
YLR149C	YLR149C	XII
YLR149C.A	YLR149C.A	NA
YLR150W	YLR150W	XII
YLR151C	YLR151C	XII
YLR152C	YLR152C	XII
YLR153C	YLR153C	XII
YLR154C	YLR154C	XII
RDN25.1	RDN25.1	NA
RDN37.1	RDN37.1	NA
YLR154W.A	YLR154W.A	NA
YLR154W.B	YLR154W.B	NA
YLR154W.C	YLR154W.C	NA
RDN58.1	RDN58.1	NA
YLR154W.E	YLR154W.E	NA
YLR154W.F	YLR154W.F	NA
RDN18.1	RDN18.1	NA
RDN5.1	RDN5.1	NA
RDN37.2	RDN37.2	NA
RDN25.2	RDN25.2	NA
YLR154C.G	YLR154C.G	NA
RDN58.2	RDN58.2	NA
RDN18.2	RDN18.2	NA
RDN5.2	RDN5.2	NA
YLR154C.H	YLR154C.H	NA
YLR155C	YLR155C	XII
YLR156W	YLR156W	XII
RDN5.3	RDN5.3	NA
YLR156C.A	YLR156C.A	NA
YLR157C	YLR157C	XII
YLR157W.D	YLR157W.D	NA
YLR157C.B	YLR157C.B	NA
YLR157C.A	YLR157C.A	NA
YLR157W.E	YLR157W.E	NA
RDN5.4	RDN5.4	NA
YLR157C.C	YLR157C.C	NA
YLR158C	YLR158C	XII
YLR159W	YLR159W	XII
RDN5.5	RDN5.5	NA
YLR159C.A	YLR159C.A	NA
YLR160C	YLR160C	XII
YLR161W	YLR161W	XII
RDN5.6	RDN5.6	NA
YLR162W	YLR162W	XII
YLR162W.A	YLR162W.A	NA
YLR163C	YLR163C	XII
YLR163W.A	YLR163W.A	NA
YLR164W	YLR164W	XII
YLR165C	YLR165C	XII
YLR166C	YLR166C	XII
YLR167W	YLR167W	XII
YLR168C	YLR168C	XII
YLR169W	YLR169W	XII
YLR170C	YLR170C	XII
YLR171W	YLR171W	XII
YLR172C	YLR172C	XII
YLR173W	YLR173W	XII
YLR174W	YLR174W	XII
YLR175W	YLR175W	XII
YLR176C	YLR176C	XII
YLR177W	YLR177W	XII
YLR178C	YLR178C	XII
YLR179C	YLR179C	XII
YLR180W	YLR180W	XII
YLR181C	YLR181C	XII
YLR182W	YLR182W	XII
YLR183C	YLR183C	XII
YLR184W	YLR184W	XII
YLR185W	YLR185W	XII
YLR186W	YLR186W	XII
YLR187W	YLR187W	XII
YLR188W	YLR188W	XII
YLR189C	YLR189C	XII
YLR190W	YLR190W	XII
YLR191W	YLR191W	XII
YLR192C	YLR192C	XII
YLR193C	YLR193C	XII
YLR194C	YLR194C	XII
YLR195C	YLR195C	XII
YLR196W	YLR196W	XII
YLR197W	YLR197W	XII
YLR198C	YLR198C	XII
YLR199C	YLR199C	XII
YLR200W	YLR200W	XII
YLR201C	YLR201C	XII
YLR202C	YLR202C	XII
YLR203C	YLR203C	XII
YLR204W	YLR204W	XII
YLR205C	YLR205C	XII
YLR206W	YLR206W	XII
YLR207W	YLR207W	XII
YLR208W	YLR208W	XII
YLR209C	YLR209C	XII
YLR210W	YLR210W	XII
YLR211C	YLR211C	XII
YLR212C	YLR212C	XII
YLR213C	YLR213C	XII
YLR214W	YLR214W	XII
YLR215C	YLR215C	XII
YLR216C	YLR216C	XII
YLR217W	YLR217W	XII
YLR218C	YLR218C	XII
YLR219W	YLR219W	XII
YLR220W	YLR220W	XII
YLR221C	YLR221C	XII
YLR222C	YLR222C	XII
YLR222C.A	YLR222C.A	NA
YLR223C	YLR223C	XII
YLR224W	YLR224W	XII
YLR225C	YLR225C	XII
YLR226W	YLR226W	XII
YLR227C	YLR227C	XII
YLR227W.B	YLR227W.B	NA
YLR227W.A	YLR227W.A	NA
YLR228C	YLR228C	XII
YLR229C	YLR229C	XII
YLR230W	YLR230W	XII
YLR231C	YLR231C	XII
YLR232W	YLR232W	XII
YLR233C	YLR233C	XII
YLR234W	YLR234W	XII
YLR235C	YLR235C	XII
YLR236C	YLR236C	XII
YLR237W	YLR237W	XII
YLR238W	YLR238W	XII
YLR239C	YLR239C	XII
YLR240W	YLR240W	XII
YLR241W	YLR241W	XII
YLR242C	YLR242C	XII
YLR243W	YLR243W	XII
YLR244C	YLR244C	XII
YLR245C	YLR245C	XII
YLR246W	YLR246W	XII
YLR247C	YLR247C	XII
YLR248W	YLR248W	XII
YLR249W	YLR249W	XII
YLR250W	YLR250W	XII
YLR251W	YLR251W	XII
YLR252W	YLR252W	XII
YLR253W	YLR253W	XII
YLR254C	YLR254C	XII
YLR255C	YLR255C	XII
YLR256W	YLR256W	XII
YLR256W.A	YLR256W.A	NA
YLR257W	YLR257W	XII
YLR258W	YLR258W	XII
YLR259C	YLR259C	XII
YLR260W	YLR260W	XII
YLR261C	YLR261C	XII
YLR262C	YLR262C	XII
YLR262C.A	YLR262C.A	NA
YLR263W	YLR263W	XII
YLR264W	YLR264W	XII
YLR264C.A	YLR264C.A	NA
YLR265C	YLR265C	XII
YLR266C	YLR266C	XII
YLR267W	YLR267W	XII
YLR268W	YLR268W	XII
YLR269C	YLR269C	XII
YLR270W	YLR270W	XII
YLR271W	YLR271W	XII
YLR272C	YLR272C	XII
YLR273C	YLR273C	XII
YLR274W	YLR274W	XII
YLR275W	YLR275W	XII
YLR276C	YLR276C	XII
YLR277C	YLR277C	XII
YLR278C	YLR278C	XII
YLR279W	YLR279W	XII
YLR280C	YLR280C	XII
YLR281C	YLR281C	XII
YLR282C	YLR282C	XII
YLR283W	YLR283W	XII
YLR284C	YLR284C	XII
YLR285W	YLR285W	XII
YLR285C.A	YLR285C.A	NA
YLR286C	YLR286C	XII
YLR286W.A	YLR286W.A	NA
YLR287C	YLR287C	XII
YLR287C.A	YLR287C.A	NA
YLR288C	YLR288C	XII
YLR289W	YLR289W	XII
YLR290C	YLR290C	XII
YLR291C	YLR291C	XII
YLR292C	YLR292C	XII
YLR293C	YLR293C	XII
YLR294C	YLR294C	XII
YLR295C	YLR295C	XII
YLR296W	YLR296W	XII
YLR297W	YLR297W	XII
YLR298C	YLR298C	XII
YLR299W	YLR299W	XII
YLR299C.A	YLR299C.A	NA
YLR300W	YLR300W	XII
YLR301W	YLR301W	XII
YLR302C	YLR302C	XII
YLR303W	YLR303W	XII
YLR304C	YLR304C	XII
YLR305C	YLR305C	XII
YLR306W	YLR306W	XII
YLR307W	YLR307W	XII
YLR307C.A	YLR307C.A	NA
YLR308W	YLR308W	XII
YLR309C	YLR309C	XII
YLR310C	YLR310C	XII
YLR311C	YLR311C	XII
YLR312C	YLR312C	XII
YLR312W.A	YLR312W.A	NA
YLR313C	YLR313C	XII
YLR314C	YLR314C	XII
YLR315W	YLR315W	XII
YLR316C	YLR316C	XII
YLR317W	YLR317W	XII
YLR318W	YLR318W	XII
YLR319C	YLR319C	XII
YLR320W	YLR320W	XII
YLR321C	YLR321C	XII
YLR322W	YLR322W	XII
YLR323C	YLR323C	XII
YLR324W	YLR324W	XII
YLR325C	YLR325C	XII
YLR326W	YLR326W	XII
YLR327C	YLR327C	XII
YLR328W	YLR328W	XII
YLR329W	YLR329W	XII
YLR330W	YLR330W	XII
YLR331C	YLR331C	XII
YLR332W	YLR332W	XII
snR61	snR61	XII
snR55	snR55	XII
snR57	snR57	XII
YLR333C	YLR333C	XII
YLR334C	YLR334C	XII
YLR335W	YLR335W	XII
YLR336C	YLR336C	XII
YLR337C	YLR337C	XII
YLR338W	YLR338W	XII
YLR339C	YLR339C	XII
YLR340W	YLR340W	XII
YLR341W	YLR341W	XII
YLR342W	YLR342W	XII
YLR342W.A	YLR342W.A	NA
YLR343W	YLR343W	XII
YLR344W	YLR344W	XII
YLR345W	YLR345W	XII
YLR346C	YLR346C	XII
YLR347C	YLR347C	XII
YLR347W.A	YLR347W.A	NA
YLR348C	YLR348C	XII
YLR349W	YLR349W	XII
YLR350W	YLR350W	XII
YLR351C	YLR351C	XII
YLR352W	YLR352W	XII
YLR353W	YLR353W	XII
YLR354C	YLR354C	XII
YLR355C	YLR355C	XII
YLR356W	YLR356W	XII
YLR357W	YLR357W	XII
YLR358C	YLR358C	XII
YLR359W	YLR359W	XII
YLR360W	YLR360W	XII
YLR361C	YLR361C	XII
YLR361C.A	YLR361C.A	NA
YLR362W	YLR362W	XII
YLR363C	YLR363C	XII
YLR363W.A	YLR363W.A	NA
YLR364W	YLR364W	XII
YLR365W	YLR365W	XII
YLR364C.A	YLR364C.A	NA
YLR366W	YLR366W	XII
YLR367W	YLR367W	XII
snR44	snR44	XII
YLR368W	YLR368W	XII
YLR369W	YLR369W	XII
YLR370C	YLR370C	XII
YLR371W	YLR371W	XII
YLR372W	YLR372W	XII
YLR373C	YLR373C	XII
YLR374C	YLR374C	XII
YLR375W	YLR375W	XII
YLR376C	YLR376C	XII
YLR377C	YLR377C	XII
YLR378C	YLR378C	XII
YLR379W	YLR379W	XII
YLR380W	YLR380W	XII
YLR381W	YLR381W	XII
YLR382C	YLR382C	XII
YLR383W	YLR383W	XII
YLR384C	YLR384C	XII
YLR385C	YLR385C	XII
YLR386W	YLR386W	XII
YLR387C	YLR387C	XII
YLR388W	YLR388W	XII
snR34	snR34	XII
YLR389C	YLR389C	XII
YLR390W	YLR390W	XII
YLR390W.A	YLR390W.A	NA
YLR392C	YLR392C	XII
YLR393W	YLR393W	XII
YLR394W	YLR394W	XII
YLR395C	YLR395C	XII
YLR396C	YLR396C	XII
YLR397C	YLR397C	XII
YLR398C	YLR398C	XII
YLR399C	YLR399C	XII
YLR399W.A	YLR399W.A	NA
YLR400W	YLR400W	XII
YLR401C	YLR401C	XII
YLR402W	YLR402W	XII
YLR403W	YLR403W	XII
YLR404W	YLR404W	XII
YLR405W	YLR405W	XII
YLR406C	YLR406C	XII
YLR406C.A	YLR406C.A	NA
YLR407W	YLR407W	XII
YLR408C	YLR408C	XII
YLR409C	YLR409C	XII
YLR410W	YLR410W	XII
YLR410W.B	YLR410W.B	NA
YLR410W.A	YLR410W.A	NA
YLR411W	YLR411W	XII
YLR412W	YLR412W	XII
YLR412C.A	YLR412C.A	NA
YLR413W	YLR413W	XII
YLR414C	YLR414C	XII
YLR415C	YLR415C	XII
YLR416C	YLR416C	XII
YLR417W	YLR417W	XII
YLR418C	YLR418C	XII
YLR419W	YLR419W	XII
YLR420W	YLR420W	XII
YLR421C	YLR421C	XII
YLR422W	YLR422W	XII
YLR423C	YLR423C	XII
YLR424W	YLR424W	XII
YLR425W	YLR425W	XII
YLR426W	YLR426W	XII
YLR427W	YLR427W	XII
YLR428C	YLR428C	XII
YLR429W	YLR429W	XII
YLR430W	YLR430W	XII
YLR431C	YLR431C	XII
YLR432W	YLR432W	XII
YLR433C	YLR433C	XII
YLR434C	YLR434C	XII
YLR435W	YLR435W	XII
YLR436C	YLR436C	XII
YLR437C	YLR437C	XII
YLR437C.A	YLR437C.A	NA
YLR438W	YLR438W	XII
YLR438C.A	YLR438C.A	NA
YLR439W	YLR439W	XII
YLR440C	YLR440C	XII
YLR441C	YLR441C	XII
YLR442C	YLR442C	XII
YLR443W	YLR443W	XII
YLR444C	YLR444C	XII
YLR445W	YLR445W	XII
YLR446W	YLR446W	XII
YLR447C	YLR447C	XII
YLR448W	YLR448W	XII
YLR449W	YLR449W	XII
YLR450W	YLR450W	XII
YLR451W	YLR451W	XII
YLR452C	YLR452C	XII
YLR453C	YLR453C	XII
YLR454W	YLR454W	XII
YLR455W	YLR455W	XII
YLR456W	YLR456W	XII
YLR457C	YLR457C	XII
YLR458W	YLR458W	XII
YLR459W	YLR459W	XII
YLR460C	YLR460C	XII
YLR461W	YLR461W	XII
YLR462W	YLR462W	XII
YLR463C	YLR463C	XII
YLR464W	YLR464W	XII
YLR465C	YLR465C	XII
YLR466W	YLR466W	XII
YLR466C.A	YLR466C.A	NA
YLR466C.B	YLR466C.B	NA
YLR467W	YLR467W	XII
YLR467C.A	YLR467C.A	NA
YPL283C	YPL283C	XVI
YPL283W.B	YPL283W.B	NA
YPL283W.A	YPL283W.A	NA
YPL282C	YPL282C	XVI
YPL281C	YPL281C	XVI
YPL280W	YPL280W	XVI
YPL279C	YPL279C	XVI
YPL278C	YPL278C	XVI
YPL277C	YPL277C	XVI
YPL276W	YPL276W	XVI
YPL275W	YPL275W	XVI
YPL274W	YPL274W	XVI
YPL273W	YPL273W	XVI
YPL272C	YPL272C	XVI
YPL271W	YPL271W	XVI
YPL270W	YPL270W	XVI
YPL269W	YPL269W	XVI
YPL268W	YPL268W	XVI
YPL267W	YPL267W	XVI
YPL266W	YPL266W	XVI
YPL265W	YPL265W	XVI
YPL264C	YPL264C	XVI
YPL263C	YPL263C	XVI
YPL262W	YPL262W	XVI
YPL261C	YPL261C	XVI
YPL260W	YPL260W	XVI
YPL259C	YPL259C	XVI
YPL258C	YPL258C	XVI
YPL257W.B	YPL257W.B	NA
YPL257W.A	YPL257W.A	NA
YPL257W	YPL257W	XVI
YPL256C	YPL256C	XVI
YPL255W	YPL255W	XVI
YPL254W	YPL254W	XVI
YPL253C	YPL253C	XVI
YPL252C	YPL252C	XVI
YPL251W	YPL251W	XVI
YPL250C	YPL250C	XVI
YPL249C.A	YPL249C.A	NA
YPL250W.A	YPL250W.A	NA
YPL249C	YPL249C	XVI
YPL248C	YPL248C	XVI
YPL247C	YPL247C	XVI
YPL246C	YPL246C	XVI
YPL245W	YPL245W	XVI
YPL244C	YPL244C	XVI
YPL243W	YPL243W	XVI
YPL242C	YPL242C	XVI
YPL241C	YPL241C	XVI
YPL240C	YPL240C	XVI
YPL239W	YPL239W	XVI
YPL238C	YPL238C	XVI
YPL237W	YPL237W	XVI
YPL236C	YPL236C	XVI
